Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
DSF2237b-C1 27.18 9999.0 25.45 0.2 24.85 0.08 24.79 0.29 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.059
DSF2237b-C13 27.27 9999.0 26.21 0.27 25.63 0.12 25.55 0.4 25.31 0.23 24.28 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.193
DSF2237b-C16 26.91 9999.0 25.48 0.16 24.67 0.05 24.73 0.21 24.16 0.1 23.27 0.1 9999.0 9999.0 22.98 0.27 9999.0 9999.0 24.26 0.1 23.89 0.1 3.132
DSF2237b-C17 26.53 9999.0 24.86 0.14 24.04 0.04 24.42 0.24 24.16 0.15 23.31 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.397
DSF2237b-C2 9999.0 9999.0 25.94 0.22 25.11 0.07 25.39 0.35 25.0 0.22 23.92 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.14
DSF2237b-C21 26.62 9999.0 24.82 0.12 23.69 0.03 23.67 0.11 22.99 0.1 22.2 0.1 9999.0 9999.0 21.64 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.401
DSF2237b-C25 28.1 9999.0 25.38 0.16 24.48 0.04 24.42 0.17 24.45 0.11 23.27 0.1 9999.0 9999.0 23.38 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.373
DSF2237b-C26 27.62 9999.0 24.75 0.1 24.28 0.03 24.46 0.18 23.94 0.1 23.96 0.1 9999.0 9999.0 23.05 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.25
DSF2237b-C27 27.06 9999.0 25.27 0.15 24.17 0.04 24.15 0.15 23.24 0.1 22.91 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.083
DSF2237b-C28 26.87 9999.0 25.98 0.22 25.28 0.08 25.22 0.3 24.14 0.1 23.46 0.1 9999.0 9999.0 23.13 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.921
DSF2237b-C29 27.42 9999.0 25.56 0.18 24.92 0.07 24.92 0.27 24.74 0.14 24.22 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 24.72 0.1 24.41 0.1 3.102
DSF2237b-C31 26.96 9999.0 26.3 0.28 25.72 0.12 26.23 0.7 25.52 0.27 25.88 0.43 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.9 0.1 25.86 0.1 2.757
DSF2237b-C46 26.84 9999.0 25.73 0.19 25.16 0.08 25.19 0.3 24.05 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.071
DSF2237b-C50 27.61 9999.0 25.57 0.17 24.85 0.06 24.94 0.26 25.7 0.67 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.374
DSF2237b-C7 27.03 9999.0 25.68 0.2 25.35 0.1 25.33 0.4 25.88 0.57 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.84 0.1 24.45 0.1 2.92
DSF2237b-C8 28.31 9999.0 26.69 0.43 25.46 0.09 25.45 0.37 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.106
DSF2237b-C9 28.03 9999.0 25.88 0.25 25.21 0.08 25.16 0.35 25.93 0.86 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.236
DSF2237b-CC21 9999.0 9999.0 26.05 0.21 25.47 0.09 25.8 0.44 25.4 0.2 23.62 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 25.36 0.1 25.04 0.1 3.206
