Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err Redshift
Q0256-Q0256 18.87 0.1 17.83 0.1 17.62 0.1 17.71 0.1 17.31 0.1 17.03 0.1 16.93 0.0 9999 9999 3.368
Q0256-c11 27.74 9999.0 25.29 0.14 25.3 0.13 25.08 0.41 25.14 0.1 99.0 9999.0 9999.0 9999.0 9999 9999 3.003
Q0256-c14 27.82 9999.0 24.82 0.11 24.85 0.1 24.76 0.36 25.7 0.15 24.87 0.12 9999.0 9999.0 9999 9999 2.979
Q0256-c15 27.47 9999.0 24.88 0.17 25.25 0.13 24.6 0.47 25.92 0.16 24.59 0.1 23.34 0.17 9999 9999 2.98
Q0256-c16 26.43 9999.0 24.73 0.11 24.18 0.1 23.69 0.15 23.91 0.1 23.17 0.1 22.75 0.11 9999 9999 2.978
Q0256-c17 27.8 9999.0 24.04 0.1 23.78 0.1 23.49 0.16 24.03 0.1 23.75 0.1 9999.0 9999.0 9999 9999 3.279
Q0256-c21 26.61 9999.0 24.68 0.13 24.53 0.1 23.94 0.23 24.82 0.1 24.27 0.1 23.68 0.25 9999 9999 3.228
Q0256-c23 27.46 9999.0 24.42 0.12 24.65 0.1 24.05 0.3 25.68 0.16 25.8 0.1 9999.0 9999.0 9999 9999 3.374
Q0256-c24 27.02 9999.0 24.35 0.1 24.38 0.1 24.14 0.25 25.27 0.13 24.76 0.1 9999.0 9999.0 9999 9999 3.132
Q0256-c26 27.13 9999.0 25.22 0.15 24.77 0.1 23.81 0.15 22.07 0.1 22.08 0.1 20.36 0.1 9999 9999 2.809
Q0256-c27 26.9 9999.0 23.58 0.1 23.83 0.1 23.6 0.22 24.6 0.1 23.93 0.1 24.21 0.2 9999 9999 3.232
Q0256-c30 27.26 9999.0 25.14 0.17 25.23 0.13 25.27 0.69 26.32 0.25 27.5 0.1 9999.0 9999.0 9999 9999 3.231
Q0256-c31 27.81 9999.0 24.68 0.11 24.51 0.1 24.62 0.36 24.96 0.1 23.46 0.1 22.33 0.1 9999 9999 3.086
Q0256-c32 27.72 9999.0 24.81 0.11 24.52 0.1 24.28 0.23 24.68 0.1 26.73 0.1 24.38 0.3 9999 9999 3.23
Q0256-c34 27.29 9999.0 24.74 0.11 24.88 0.1 25.18 0.59 25.75 0.17 25.24 0.17 9999.0 9999.0 9999 9999 2.835
Q0256-d10 24.99 0.81 24.76 0.15 24.47 0.1 23.92 0.24 24.83 0.1 23.48 0.1 22.37 0.1 9999 9999 2.857
Q0256-d12 27.24 9999.0 25.43 0.14 25.37 0.13 25.44 0.51 25.47 0.11 24.6 0.1 9999.0 9999.0 9999 9999 2.418
Q0256-d3 26.94 9999.0 24.97 0.12 24.73 0.1 24.5 0.28 24.65 0.1 23.89 0.1 23.33 0.13 9999 9999 2.893
Q0256-d4 27.01 9999.0 24.79 0.1 24.04 0.1 23.87 0.15 23.98 0.1 23.73 0.1 23.7 0.21 9999 9999 3.669
Q0256-d5 26.58 9999.0 24.09 0.1 23.9 0.1 23.76 0.2 24.32 0.1 24.01 0.1 22.59 0.1 9999 9999 3.084
Q0256-d6 25.22 0.77 24.88 0.11 25.32 0.12 24.84 0.36 24.94 0.1 27.75 0.13 9999.0 9999.0 9999 9999 2.053
Q0256-d7 27.06 9999.0 25.3 0.22 25.53 0.17 24.97 0.58 26.48 0.23 26.44 0.21 9999.0 9999.0 9999 9999 3.083
Q0256-d7b 24.05 0.4 24.81 0.13 24.85 0.1 24.08 0.24 24.19 0.1 23.72 0.1 23.2 0.22 9999 9999 2.174
Q0256-d8 26.9 9999.0 24.9 0.11 24.6 0.1 24.64 0.3 24.79 0.1 24.03 0.1 23.46 0.16 9999 9999 2.923
Q0256-m11 26.93 9999.0 24.96 0.17 24.66 0.1 23.99 0.24 23.48 0.1 22.36 0.1 21.02 0.1 9999 9999 2.193
Q0256-m14 28.04 9999.0 25.57 0.18 24.98 0.1 24.92 0.36 25.29 0.12 30.13 0.2 9999.0 9999.0 9999 9999 3.135
Q0256-m16 27.7 9999.0 25.73 0.35 25.74 0.16 25.32 0.86 27.13 9999.0 31.09 9999.0 9999.0 9999.0 9999 9999 3.229
Q0256-m19 27.23 9999.0 25.53 0.19 25.04 0.11 24.59 0.28 24.64 0.1 23.59 0.1 9999.0 9999.0 9999 9999 2.875
Q0256-m20 27.55 9999.0 25.32 0.17 24.58 0.1 24.65 0.32 24.76 0.1 25.55 0.1 24.7 0.42 9999 9999 3.229
Q0256-m26 27.37 9999.0 24.91 0.21 24.69 0.1 24.54 0.52 25.62 0.17 24.4 0.1 23.07 0.36 9999 9999 2.695
Q0256-m6 27.27 9999.0 25.58 0.22 24.92 0.1 24.94 0.43 25.27 0.1 23.99 0.1 9999.0 9999.0 9999 9999 2.999
Q0256-m9 29.1 9999.0 25.13 0.17 24.6 0.1 24.68 0.4 25.04 0.1 23.81 0.1 9999.0 9999.0 9999 9999 3.276
Q0256-md11 26.54 9999.0 25.26 0.17 24.7 0.1 24.38 0.26 24.98 0.1 24.08 0.1 9999.0 9999.0 9999 9999 2.973
Q0256-md13 26.91 9999.0 25.2 0.15 25.58 0.15 25.21 0.52 26.27 0.22 24.73 0.1 23.16 0.18 9999 9999 2.34
Q0256-md16 24.47 0.37 24.57 0.1 25.05 0.11 24.91 0.44 25.13 0.1 24.78 0.1 9999.0 9999.0 9999 9999 2.355
Q0256-md17 24.15 0.36 24.14 0.1 24.15 0.1 23.91 0.19 23.76 0.1 23.06 0.1 10.82 0.0 9999 9999 2.388
Q0256-md18 26.56 9999.0 24.87 0.14 25.16 0.12 24.69 0.43 24.73 0.1 99.0 9999.0 9999.0 9999.0 9999 9999 2.883
Q0256-md22 26.79 9999.0 25.21 0.13 25.44 0.14 25.04 0.39 26.48 0.29 24.83 0.1 9999.0 9999.0 9999 9999 2.752
Q0256-md24 24.88 0.89 24.29 0.1 24.03 0.1 23.7 0.19 24.03 0.1 23.07 0.1 22.81 0.18 9999 9999 2.974
Q0256-md26 24.23 0.43 24.36 0.1 24.65 0.1 24.49 0.31 25.22 0.11 24.82 0.12 9999.0 9999.0 9999 9999 2.832
Q0256-md27 24.58 0.57 24.25 0.1 24.67 0.1 24.69 0.39 24.95 0.1 24.3 0.1 23.8 0.26 9999 9999 2.806
Q0256-md29 25.48 0.99 25.12 0.17 25.4 0.15 24.97 0.52 25.21 0.1 24.61 0.1 9999.0 9999.0 9999 9999 2.508
Q0256-md30 24.62 0.46 24.56 0.1 24.51 0.11 24.56 0.33 24.8 0.1 24.09 0.1 9999.0 9999.0 9999 9999 2.837
Q0256-md31 26.95 9999.0 25.66 0.19 25.58 0.15 25.47 0.57 25.8 0.14 24.83 0.1 24.08 0.3 9999 9999 2.968
Q0256-md32 24.09 0.42 23.71 0.1 23.58 0.1 23.47 0.12 23.55 0.1 22.76 0.1 22.0 0.1 9999 9999 2.804
Q0256-md33 25.33 0.8 25.29 0.13 25.29 0.12 25.17 0.42 24.99 0.1 30.05 9999.0 9999.0 9999.0 9999 9999 2.651
Q0256-md34 24.03 0.38 23.64 0.1 23.56 0.1 23.18 0.13 23.46 0.1 23.76 0.1 9999.0 9999.0 9999 9999 3.132
Q0256-md35 24.39 0.51 24.35 0.1 24.56 0.1 24.17 0.28 24.74 0.1 24.95 0.15 24.47 0.41 9999 9999 2.903
Q0256-md36 26.5 9999.0 24.6 0.11 24.64 0.1 24.47 0.35 25.21 0.11 24.5 0.1 24.32 0.25 9999 9999 2.838
Q0256-md37 25.01 0.67 24.41 0.1 24.43 0.1 24.36 0.28 24.27 0.1 22.9 0.1 21.95 0.1 9999 9999 2.799
Q0256-md38 26.98 9999.0 25.24 0.2 25.53 0.15 24.54 0.37 25.8 0.12 26.35 0.32 9999.0 9999.0 9999 9999 2.703
Q0256-md39 24.52 0.61 24.08 0.1 24.13 0.1 23.67 0.25 24.21 0.1 23.45 0.1 22.84 0.17 9999 9999 2.839
Q0256-md40 26.62 9999.0 25.22 0.19 25.53 0.14 24.93 0.51 25.8 0.13 26.05 0.27 9999.0 9999.0 9999 9999 2.3
Q0256-md41 26.79 9999.0 24.99 0.13 24.93 0.1 24.81 0.38 25.31 0.11 99.0 9999.0 24.76 0.39 9999 9999 2.694
Q0256-md42 25.65 0.91 25.43 0.16 25.29 0.12 25.02 0.38 25.41 0.12 24.73 0.11 24.95 0.38 9999 9999 2.871
Q0256-md46 26.57 9999.0 24.47 0.1 24.29 0.1 24.28 0.26 24.63 0.1 24.11 0.1 23.36 0.22 9999 9999 2.915
Q0256-md47 27.82 9999.0 24.95 0.12 24.39 0.1 24.24 0.22 24.38 0.1 23.33 0.1 22.78 0.1 9999 9999 3.145
Q0256-md52 24.8 0.59 24.89 0.17 25.24 0.12 24.57 0.45 24.8 0.1 23.73 0.1 22.83 0.36 9999 9999 2.567
Q0256-md54 26.36 9999.0 24.46 0.11 24.13 0.1 23.92 0.25 23.88 0.1 23.83 0.1 22.81 0.25 9999 9999 2.616
Q0256-md8 24.3 0.51 23.75 0.1 23.84 0.1 23.68 0.21 24.16 0.1 38.58 9999.0 22.36 0.39 9999 9999 2.883
Q0256-md9 26.82 9999.0 24.41 0.1 23.99 0.1 23.84 0.2 23.73 0.1 99.0 9999.0 22.38 0.2 9999 9999 2.81
Q0256-oMD36 24.4 0.56 24.72 0.14 24.98 0.11 24.35 0.35 25.39 0.11 24.64 0.1 9999.0 9999.0 9999 9999 2.417
Q0256-xS39 18.93 0.1 20.16 0.1 19.84 0.1 19.58 0.1 19.71 0.1 19.51 0.1 18.78 0.1 9999 9999 1.582
Q0256-md34-CS8 23.79 0.07 24.51 0.03 24.18 0.05 23.74 0.05 23.69 0.06 23.62 0.06 9999.0 9999.0 9999 9999 2.4
