Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err f814w f814w_err mosfire_J mosfire_J_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err f125w f125w_err f160w f160w_err Redshift
Q0933-C15 27.03 9999.0 25.9 0.15 24.74 0.12 25.19 0.39 25.14 0.36 24.22 0.1 23.67 0.42 23.48 0.34 9999.0 9999.0 9999.0 9999.0 3.163
Q0933-C17 26.8 9999.0 25.93 0.14 24.75 0.14 25.43 0.44 24.53 0.19 23.6 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.549
Q0933-C18 26.94 9999.0 25.52 0.12 24.59 0.1 24.58 0.25 24.86 0.31 23.8 0.1 23.24 0.28 9999.0 9999.0 24.17 0.05 23.7 0.05 2.926
Q0933-C20 29.81 9999.0 26.03 0.16 25.15 0.14 25.75 0.62 26.08 0.8 24.65 0.14 9999.0 9999.0 9999.0 9999.0 24.95 0.05 24.62 0.05 3.163
Q0933-C22 27.11 9999.0 25.15 0.1 24.91 0.13 25.21 0.42 25.15 0.38 28.3 0.1 9999.0 9999.0 9999.0 9999.0 24.97 0.05 24.84 0.05 3.164
Q0933-C25 27.55 9999.0 25.58 0.12 24.2 0.1 24.98 0.35 24.71 0.26 24.45 0.13 23.43 0.28 22.38 0.19 9999.0 9999.0 9999.0 9999.0 2.706
Q0933-C27 27.07 9999.0 26.62 0.22 25.35 0.17 26.1 0.7 25.54 0.4 26.2 0.19 9999.0 9999.0 21.75 0.22 25.12 0.05 25.31 0.05 3.546
Q0933-C28 26.61 9999.0 25.48 0.12 24.4 0.11 25.35 0.52 24.97 0.36 24.45 0.14 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.923
Q0933-C29 26.45 9999.0 25.21 0.11 24.32 0.11 24.64 0.33 24.96 0.42 23.85 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.985
Q0933-C30 27.09 9999.0 26.06 0.16 24.87 0.13 25.23 0.37 25.78 0.59 24.21 0.1 9999.0 9999.0 20.48 0.15 9999.0 9999.0 9999.0 9999.0 3.237
Q0933-C31 26.45 9999.0 25.49 0.14 24.69 0.11 26.16 1.28 25.24 0.53 24.08 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.227
Q0933-C32 26.76 9999.0 26.24 0.18 25.18 0.15 26.21 0.88 24.98 0.27 23.51 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.543
Q0933-C39 26.89 9999.0 25.92 0.12 24.92 0.14 25.88 0.57 27.07 9999.0 25.91 0.37 9999.0 9999.0 9999.0 9999.0 24.78 0.05 24.47 0.05 2.684
Q0933-C40 26.97 9999.0 26.31 0.16 25.68 0.23 26.81 1.25 99.0 9999.0 25.42 0.22 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.868
Q0933-C43 25.91 9999.0 24.68 0.1 23.75 0.1 24.24 0.23 24.31 0.24 23.31 0.1 21.96 0.1 9999.0 9999.0 23.77 0.05 23.16 0.05 2.769
Q0933-C45 26.16 9999.0 25.5 0.13 24.03 0.1 24.41 0.24 24.38 0.22 22.99 0.1 22.16 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.877
Q0933-C46 29.31 9999.0 25.29 0.13 23.61 0.1 23.91 0.19 23.34 0.11 22.53 0.1 22.51 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.454
Q0933-C49 26.13 9999.0 24.32 0.1 23.63 0.1 24.15 0.25 99.0 9999.0 23.16 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.914
Q0933-C7 27.34 9999.0 25.85 0.16 24.9 0.13 25.12 0.41 99.0 9999.0 24.13 0.1 9999.0 9999.0 23.42 0.13 9999.0 9999.0 9999.0 9999.0 3.378
