Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err f125w f125w_err f160w f160w_err Redshift
Q1422-c10 27.84 9999.0 25.38 0.1 24.4 0.1 99.0 9999.0 9999.0 9999.0 22.97 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.967
Q1422-c101 27.07 9999.0 25.18 0.1 23.9 0.1 22.8 0.03 21.9 0.1 21.78 0.1 21.25 0.15 9999.0 9999.0 9999.0 9999.0 2.877
Q1422-c102 27.96 9999.0 25.94 0.11 24.95 0.12 24.55 0.1 23.56 0.34 9999.0 9999.0 9999.0 9999.0 25.06 0.05 24.6 0.05 3.087
Q1422-c103 27.87 1.09 25.51 0.1 24.41 0.1 23.98 0.09 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.545
Q1422-c106 27.92 9999.0 26.05 0.14 25.1 0.13 24.58 0.07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.029
Q1422-c107 28.13 9999.0 26.81 0.18 25.54 0.21 25.47 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.972
Q1422-c108 27.92 9999.0 25.74 0.1 24.93 0.1 24.06 0.07 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.371
Q1422-c110 27.35 9999.0 25.15 0.1 24.24 0.1 23.19 0.05 23.27 0.17 22.96 0.21 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.074
Q1422-c114 27.58 9999.0 27.09 0.18 25.29 0.21 25.25 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.105
Q1422-c117 28.55 9999.0 26.9 0.19 25.01 0.16 25.78 0.13 24.04 0.25 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.102
Q1422-c118 27.82 9999.0 26.03 0.12 25.12 0.12 24.5 0.1 24.05 0.31 23.52 0.32 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.967
Q1422-c121 28.45 9999.0 26.55 0.2 25.23 0.12 24.11 0.08 9999.0 9999.0 24.17 0.42 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.745
Q1422-c123 28.32 9999.0 27.12 0.22 25.63 0.2 25.81 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.096
Q1422-c125 27.91 9999.0 26.6 0.19 25.55 0.16 25.14 0.18 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.921
