Object Un_lris Un_lris_err G_lris G_lris_err Rs_lris Rs_lris_err mosfire_J mosfire_J_err mosfire_H mosfire_H_err mosfire_Ks mosfire_Ks_err irac1 irac1_err irac2 irac2_err irac3 irac3_err Redshift
SSA22-C10 27.02 9999.0 25.94 0.26 25.43 0.1 9999.0 9999.0 24.77 0.15 24.66 0.12 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.931
SSA22-C11 27.22 9999.0 24.86 0.12 24.36 0.06 24.05 0.1 24.32 0.12 23.78 0.1 23.16 0.17 23.17 0.17 9999.0 9999.0 3.098
SSA22-C12 27.14 9999.0 24.92 0.12 24.41 0.06 9999.0 9999.0 24.1 0.1 24.42 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.099
SSA22-C14 27.56 9999.0 26.24 0.36 25.71 0.13 25.36 0.24 9999.0 9999.0 25.42 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.213
SSA22-C15 27.21 9999.0 25.97 0.28 25.35 0.1 25.83 0.32 9999.0 9999.0 27.06 0.17 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.098
SSA22-C16 26.32 9999.0 24.47 0.11 23.52 0.03 22.98 0.1 22.48 0.1 22.08 0.1 21.91 0.1 21.73 0.1 21.54 0.16 3.067
SSA22-C19 28.28 9999.0 26.38 0.33 25.99 0.14 25.76 0.24 26.06 0.5 25.57 0.27 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.989
SSA22-C22 26.63 9999.0 25.02 0.13 24.6 0.06 24.32 0.1 23.79 0.1 24.13 0.1 23.46 0.19 23.26 0.16 9999.0 9999.0 2.879
SSA22-C24 27.06 9999.0 25.04 0.15 24.2 0.05 24.15 0.1 23.79 0.1 23.66 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.099
SSA22-C26 27.18 9999.0 26.77 0.46 26.12 0.16 9999.0 9999.0 25.73 0.21 26.03 0.4 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.171
SSA22-C27 28.9 9999.0 25.58 0.19 24.96 0.08 24.34 0.1 9999.0 9999.0 23.51 0.1 9999.0 9999.0 23.55 0.26 9999.0 9999.0 3.086
SSA22-C28 27.48 9999.0 25.47 0.17 25.13 0.08 25.33 0.19 24.35 0.83 25.5 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.069
SSA22-C3 27.94 9999.0 26.01 0.26 25.46 0.11 24.76 0.1 9999.0 9999.0 24.33 0.1 23.95 0.34 23.72 0.24 9999.0 9999.0 3.093
SSA22-C30 27.0 9999.0 24.8 0.14 24.11 0.05 9999.0 9999.0 9999.0 9999.0 22.92 0.1 22.58 0.13 22.25 0.1 9999.0 9999.0 3.102
SSA22-C31 26.86 9999.0 24.57 0.1 24.6 0.06 24.47 0.1 23.1 0.11 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.021
SSA22-C32 9999.0 9999.0 24.53 0.1 23.85 0.04 23.84 0.1 9999.0 9999.0 23.27 0.1 23.24 0.14 23.13 0.15 9999.0 9999.0 3.293
SSA22-C35 27.0 9999.0 25.24 0.17 24.28 0.06 9999.0 9999.0 23.84 0.1 23.46 0.1 23.43 0.14 23.17 0.15 9999.0 9999.0 3.099
SSA22-C36 26.53 9999.0 24.86 0.14 24.11 0.05 23.81 0.1 23.67 0.1 23.22 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.062
SSA22-C39 28.57 9999.0 25.6 0.22 25.19 0.1 9999.0 9999.0 9999.0 9999.0 24.63 0.1 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.068
SSA22-C4 9999.0 9999.0 25.29 0.18 24.78 0.08 24.58 0.12 9999.0 9999.0 23.21 0.1 24.02 0.17 9999.0 9999.0 9999.0 9999.0 3.072
SSA22-C40 27.14 9999.0 25.68 0.18 25.26 0.1 9999.0 9999.0 24.0 0.1 24.7 0.1 24.01 0.2 24.08 0.23 9999.0 9999.0 2.919
SSA22-C41 26.89 9999.0 24.2 0.1 23.99 0.04 24.01 0.1 9999.0 9999.0 23.6 0.1 23.21 0.11 23.13 0.15 9999.0 9999.0 3.02
SSA22-C42 27.26 9999.0 25.38 0.15 25.06 0.09 24.62 0.1 23.48 0.16 9999.0 9999.0 9999.0 9999.0 24.09 0.27 9999.0 9999.0 2.924
SSA22-C44 27.25 9999.0 25.82 0.22 24.99 0.18 24.6 0.2 9999.0 9999.0 24.46 0.2 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.818
SSA22-C45 27.44 9999.0 25.64 0.2 25.16 0.09 24.94 0.1 24.79 0.24 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.828
SSA22-C46 28.94 9999.0 25.37 0.18 24.84 0.08 24.75 0.1 9999.0 9999.0 24.54 0.1 24.02 0.19 23.77 0.17 9999.0 9999.0 2.923
SSA22-C47 26.89 9999.0 24.47 0.1 23.89 0.04 23.79 0.1 9999.0 9999.0 23.61 0.1 23.18 0.14 23.36 0.17 9999.0 9999.0 3.067
SSA22-C48 28.15 9999.0 25.79 0.23 25.07 0.1 25.54 0.12 9999.0 9999.0 24.95 0.23 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.081
SSA22-C49 26.66 9999.0 24.5 0.11 23.9 0.05 23.5 0.1 9999.0 9999.0 22.85 0.1 23.21 0.16 23.12 0.12 9999.0 9999.0 3.151
SSA22-C50 9999.0 9999.0 25.94 0.26 25.2 0.09 24.87 0.1 9999.0 9999.0 24.3 0.1 23.8 0.35 23.56 0.29 9999.0 9999.0 3.088
SSA22-C6 27.27 9999.0 24.45 0.11 23.69 0.05 23.87 0.1 24.16 0.1 23.3 0.1 23.47 0.27 9999.0 9999.0 22.31 0.34 3.094
SSA22-C7 26.56 9999.0 24.34 0.13 23.43 0.04 23.04 0.1 9999.0 9999.0 22.32 0.1 22.17 0.1 22.03 0.1 21.65 0.13 3.064
SSA22-C8 27.43 0.85 26.27 0.29 26.09 0.15 9999.0 9999.0 25.88 0.2 25.7 0.25 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.455
SSA22-C9 27.49 9999.0 26.05 0.26 25.84 0.13 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 3.069
SSA22-D10 27.37 0.92 25.64 0.18 25.16 0.09 24.69 0.1 9999.0 9999.0 24.17 0.1 9999.0 9999.0 22.88 0.14 9999.0 9999.0 2.607
SSA22-D12 24.27 0.11 21.97 0.1 21.64 0.01 20.95 0.1 9999.0 9999.0 20.45 0.1 20.14 0.1 19.93 0.1 19.54 0.1 3.09
SSA22-D13 26.02 0.65 21.63 0.1 20.9 0.0 20.85 0.1 9999.0 9999.0 20.42 0.1 20.58 0.1 20.39 0.1 20.17 0.1 3.349
SSA22-D14 26.78 0.61 24.75 0.1 24.5 0.05 24.32 0.1 9999.0 9999.0 23.7 0.1 23.7 0.19 23.82 0.24 9999.0 9999.0 3.015
SSA22-D15 27.42 0.8 25.92 0.2 25.48 0.1 25.57 0.12 9999.0 9999.0 26.23 0.35 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.714
SSA22-D17 26.45 9999.0 24.88 0.13 24.43 0.07 24.71 0.1 23.99 0.1 24.03 0.1 23.64 0.27 23.56 0.2 9999.0 9999.0 3.085
SSA22-D3 26.29 9999.0 24.18 0.11 23.28 0.04 23.29 0.1 9999.0 9999.0 22.53 0.1 22.46 0.17 22.34 0.12 21.98 0.28 3.069
SSA22-D4 26.33 0.41 25.06 0.13 24.97 0.09 25.25 0.19 9999.0 9999.0 25.46 0.26 9999.0 9999.0 9999.0 9999.0 9999.0 9999.0 2.766
